Date,Adj Close,Close,High,Low,Open,Volume
2006-05-12,90.9283447265625,129.24000549316406,130.72000122070312,129.19000244140625,130.36000061035156,91726500
2006-05-15,91.11121368408203,129.5,129.74000549316406,128.61000061035156,128.7899932861328,84029300
2006-05-16,90.97756958007812,129.30999755859375,130.0,129.00999450683594,129.75999450683594,62137600
2006-05-17,89.24683380126953,126.8499984741211,129.10000610351562,126.7699966430664,128.6699981689453,144789500
2006-05-18,88.79652404785156,126.20999908447266,127.75,126.11000061035156,127.3499984741211,87906300
2006-05-19,89.42269134521484,127.0999984741211,127.48999786376953,125.80000305175781,126.87000274658203,124309400
2006-05-22,88.74026489257812,126.12999725341797,127.16999816894531,125.5,126.27999877929688,110852800
2006-05-23,88.06481170654297,125.16999816894531,127.62999725341797,125.16999816894531,127.18000030517578,92006500
2006-05-24,88.76838684082031,126.16999816894531,126.88999938964844,124.76000213623047,125.68000030517578,168405000
2006-05-25,89.86593627929688,127.7300033569336,127.7300033569336,126.43000030517578,126.91999816894531,78977900
2006-05-26,90.3232421875,128.3800048828125,128.3800048828125,127.51000213623047,128.00999450683594,62989700
2006-05-30,88.7191162109375,126.0999984741211,128.0,126.05000305175781,127.97000122070312,72419900
2006-05-31,89.71115112304688,127.51000213623047,127.51000213623047,126.19999694824219,126.62000274658203,86926200
2006-06-01,90.56951141357422,128.72999572753906,128.94000244140625,127.2699966430664,127.37999725341797,73721700
2006-06-02,90.75947570800781,129.0,129.42999267578125,128.32000732421875,129.25,91702600
2006-06-05,89.43680572509766,127.12000274658203,128.86000061035156,126.7699966430664,128.85000610351562,86105100
2006-06-06,89.2186508178711,126.80999755859375,127.37999725341797,125.76000213623047,127.20999908447266,130498600
2006-06-07,88.5502700805664,125.86000061035156,127.6500015258789,125.79000091552734,126.91000366210938,108599400
2006-06-08,88.4728775024414,125.75,126.5,123.87000274658203,125.58000183105469,204957200
2006-06-09,88.19147491455078,125.3499984741211,126.95999908447266,125.29000091552734,126.36000061035156,94972200
2006-06-12,87.23463439941406,123.98999786376953,125.93000030517578,123.81999969482422,125.87999725341797,95815900
2006-06-13,86.22149658203125,122.55000305175781,124.83999633789062,122.55000305175781,123.73999786376953,185688800
2006-06-14,86.88987731933594,123.5,123.62999725341797,122.33999633789062,122.83999633789062,163566400
2006-06-15,88.73322296142578,126.12000274658203,126.36000061035156,123.86000061035156,123.94999694824219,134057000
2006-06-16,88.08661651611328,124.6500015258789,125.55999755859375,124.45999908447266,125.29000091552734,94253500
2006-06-19,87.39405059814453,123.66999816894531,125.4800033569336,123.55000305175781,125.4000015258789,95804400
2006-06-20,87.69086456298828,124.08999633789062,124.80999755859375,123.72000122070312,124.01000213623047,65494700
2006-06-21,88.34101104736328,125.01000213623047,125.69999694824219,123.95999908447266,124.0,75008200
2006-06-22,87.95233917236328,124.45999908447266,125.05999755859375,124.04000091552734,124.94999694824219,74566100
2006-06-23,87.93820190429688,124.44000244140625,125.30000305175781,124.02999877929688,124.33000183105469,54107000
2006-06-26,88.3268814086914,124.98999786376953,125.05999755859375,124.25,124.54000091552734,37899600
2006-06-27,87.56367492675781,123.91000366210938,125.29000091552734,123.7699966430664,125.01000213623047,69780200
2006-06-28,88.15727996826172,124.75,124.7699966430664,123.6500015258789,124.19000244140625,62368100
2006-06-29,89.93807983398438,127.2699966430664,127.3499984741211,125.16999816894531,125.19999694824219,110634800
2006-06-30,89.94514465332031,127.27999877929688,127.66000366210938,126.95999908447266,127.54000091552734,54227800
2006-07-03,90.3125991821289,127.80000305175781,128.00999450683594,127.30999755859375,127.43000030517578,23914000
2006-07-05,89.79676818847656,127.06999969482422,127.44999694824219,126.5199966430664,127.29000091552734,69653400
2006-07-06,90.0582046508789,127.44000244140625,127.8499984741211,127.08000183105469,127.19999694824219,50100300
2006-07-07,89.4717025756836,126.61000061035156,127.55999755859375,126.29000091552734,127.19000244140625,81626500
2006-07-10,89.64130401611328,126.8499984741211,127.43000030517578,126.41000366210938,126.94000244140625,60964100
2006-07-11,90.03704071044922,127.41000366210938,127.41000366210938,125.94000244140625,126.61000061035156,73640800
2006-07-12,89.07595825195312,126.05000305175781,127.4000015258789,125.72000122070312,127.1500015258789,82561300
2006-07-13,87.62728118896484,124.0,125.68000030517578,124.0,125.44999694824219,102405700
2006-07-14,87.28807830810547,123.5199966430664,124.26000213623047,122.83000183105469,124.12999725341797,103242500
2006-07-17,87.16087341308594,123.33999633789062,124.0999984741211,123.1500015258789,123.5199966430664,81159000
2006-07-18,87.6061019897461,123.97000122070312,124.05000305175781,122.38999938964844,123.70999908447266,122771000
2006-07-19,88.82152557373047,125.69000244140625,126.26000213623047,123.72000122070312,124.18000030517578,133565300
2006-07-20,88.21378326416016,124.83000183105469,126.30000305175781,124.66000366210938,126.12000274658203,112259800
2006-07-21,87.59192657470703,123.94999694824219,125.19000244140625,123.81999969482422,125.1500015258789,101560000
2006-07-24,89.18899536132812,126.20999908447266,126.31999969482422,124.44000244140625,124.44000244140625,92884000
2006-07-25,89.50700378417969,126.66000366210938,127.30000305175781,125.72000122070312,125.9800033569336,95480700
2006-07-26,89.62715148925781,126.83000183105469,127.44999694824219,126.18000030517578,126.58999633789062,84525800
2006-07-27,89.5423583984375,126.70999908447266,127.69000244140625,126.19999694824219,127.37999725341797,87257100
2006-07-28,90.43980407714844,127.9800033569336,128.13999938964844,126.86000061035156,127.04000091552734,82137000
2006-07-31,90.34793853759766,127.8499984741211,127.95999908447266,127.44999694824219,127.66000366210938,49593100
2006-08-01,89.90277099609375,127.22000122070312,127.37999725341797,126.5999984741211,127.33999633789062,65225600
